ID,latitude,longitude,city,postal_code,country,access_comments,connections,num_charging_points,is_operational,last_verified_date,creation_date,usage_cost,is_pay_at_location,is_membership_required,operator,county,original_text,is_free,is_paid_unspecified,is_inaccessible,ac_price_huf_kwh,dc_price_huf_kwh,time_based_price_huf_min,additional_fees,notes
459919,46.40256,20.356911,Hódmezővásárhely,6800,Hungary,,"[{'ID': 773859, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': 'CURB4023', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': 500, 'Voltage': 950, 'PowerKW': 360, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': 'Regisztráció nélkül használható! A töltés indításához telefonoddal olvasd le a csatlakozónál található QR kódot, vagy add meg a csatlakozó azonosítóját az ev.curb.hu weboldalon.  2 db CCS csatlakozó (max. 360 kW) Töltés díja: 200 Ft/kWh Töltésindítás előtt zárolt összeg: 20 000 Ft  A töltés a zárolt összeg, vagy a maximális töltési idő elérésekor automatikusan leáll!  A töltés végén csak a tényleges töltés összege kerül levonásra. A fennmaradó zárolt összeg azonnal feloldásra kerül, mely a bankkártyát kibocsátó bank szabályzataiban foglalt időn belül jelenik meg a bankszámládon.  (EN) Can be used without registration! Start charging by scanning the connector’s QR code or entering the connector’s ID on the ev.curb.hu website.  2 x CCS connectors (max. 360 kW) Charging fee: 200 HUF/kWh Amount blocked before charging: 20 000 HUF  A temporary hold will be placed on your card for the blocked amount. Charging will automatically stop when the blocked amount or the maximum charging time is reached.  At the end of the process, your card will be charged only for the actual amount. The initial hold will be released immediately, and the final charge will appear as a completed transaction on your statement within the timeframe specified by your bank’s policy.  Ügyfélszolgálat/Helpdesk: +36 30 461 2828 info@curb.hu www.curb.hu'}]",1,True,2025-07-21,2025-07-20,200 Ft/kWh,,,Curb (Hungary),Csongrád-Csanád,200 Ft/kWh,True,False,False,,,,,Free charging
459055,47.85156839676958,20.14568475066073,Kisnána,3264,Hungary,For opening the gates please call +36305011571 or +36302054126 (Second one is Hungarian only),"[{'ID': 771626, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 16, 'Voltage': 230, 'PowerKW': 11, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1, 'Comments': 'A töltő a Vár-Liget Vendégház zárt parkolójában található. A kapu nyitásához kérjük hívja a +36302054126 telefonszámot. További informácikat a var-liget.hu oldalon talál. / The charger is located in the closed parking of Vár-Liget Guesthouse. For opening the gate, please call +36305011571. More informations on var-liget.hu/en'}]",1,True,2025-07-05,2025-07-02,225 HUF/kWh,False,True,Mobiliti.hu,Heves,225 HUF/kWh,False,False,False,225.0,,,,
458920,47.246084,16.604407,Szombathely,7900,Hungary,,"[{'ID': 771428, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 230, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",1,True,2025-06-25,2025-06-24,110 Ft/kWh,,,Curb (Hungary),Vas,110 Ft/kWh,True,False,False,,,,,Free charging
457975,47.7928461423237,19.11566746032477,Vác,2600,Hungary,,"[{'ID': 770034, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 20, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 4, 'Comments': ''}, {'ID': 770035, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 20, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 4, 'Comments': None}, {'ID': 770036, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 4, 'Comments': None}]",4,True,2025-06-25,2025-06-22,,,,Lidl,Pest,,False,False,False,,,,,Missing data
313310,47.67710564762419,19.667077206580075,Hatvan,3000,Hungary,,"[{'ID': 603425, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': None, 'Level': None, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}, {'ID': 604597, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': None, 'Level': None, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",2,True,2025-06-16,2025-06-04,,False,True,Mobiliti.hu,Heves,,False,False,False,,,,,Missing data
313307,47.56108,19.04912,Budapest,1033,Hungary,,"[{'ID': 603422, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 12, 'Comments': None}]",12,True,2025-06-07,2025-06-04,202 HUF/kWh,False,True,Tesla (including non-tesla),Budapest,202 HUF/kWh,False,False,False,202.0,,,,
313306,47.38344,19.02683,Szigetszentmiklós,2310,Hungary,,"[{'ID': 603421, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 20, 'Comments': None}]",20,True,2025-06-07,2025-06-04,202 HUF/kWh,False,True,Tesla (including non-tesla),Pest,202 HUF/kWh,False,False,False,202.0,,,,
313305,47.14965,18.43133,Székesfehérvár,8000,Hungary,,"[{'ID': 603420, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 12, 'Comments': None}]",12,True,2025-06-07,2025-06-04,202 HUF/kWh,False,True,Tesla (including non-tesla),Fejér,202 HUF/kWh,False,False,False,202.0,,,,
312979,46.9261435463103,17.837953230973426,Aszófő,8241,Hungary,,"[{'ID': 603068, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': 'HU*GRD*49603AB*1-2', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': 620, 'Voltage': 1000, 'PowerKW': 210, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': 'Start https://evdirect.hu/?page_id=49603'}]",2,True,2025-06-11,2025-06-01,Day: 129 Ft/kWh | Night: 249 Ft/kWh,False,True,EV Direct,Veszprém,Day: 129 Ft/kWh | Night: 249 Ft/kWh,False,False,False,129.0,,,,Time-of-use-pricing
312978,47.54882921019254,19.14646076269665,Budapest,1152,Hungary,Éjjel-nappal használható / usable 24/7,"[{'ID': 603067, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': None}]",2,True,2025-06-06,2025-06-01,225Ft/kW,,,Mobiliti.hu,Budapest,225Ft/kW,False,False,False,,,,,
